Year,Discipline,Sex,Age Group,SK Racers,Average Points,Total Points,List Name,Publication Date,List ID
2025,Sprint,Men,SM,1,71.2,71.2,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,U14,6,43.29,259.72,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,U16,3,69.22,207.65,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,U18,7,70.12,490.87,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Men,U20,5,77.32,386.62,7th CPL Sprint 2024-25,2025-04-04,1895
2025,Sprint,Women,MW1,0,0.0,0,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,MW5,1,67.76,67.76,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,MW9,0,0.0,0,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,SW,1,73.37,73.37,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,U12,1,45.85,45.85,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,U14,7,48.03,336.18,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,U16,8,57.94,463.48,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,U18,6,71.05,426.31,7th CPL Sprint 2024-25,2025-04-04,1896
2025,Sprint,Women,U20,3,69.69,209.06,7th CPL Sprint 2024-25,2025-04-04,1896
